"","date","province","at_least_1_dose","double_dose","firstJabs","secondJabs","jabs","eligible_population","population","province2","type","unvaccinated_population","partially_dose"
"2934",2022-01-14,"ns",853687.8,827554.499997893,0,0.046587620745413,0.046587620745413,871110,982326,"NS","projection",128638.2,26133.3000021073
"2935",2022-01-15,"ns",853687.8,827554.5,0,2.10723374038935e-06,2.10723374038935e-06,871110,982326,"NS","projection",128638.2,26133.3
"2936",2022-01-16,"ns",853687.8,827554.5,0,0,0,871110,982326,"NS","projection",128638.2,26133.3
"2937",2022-01-17,"ns",853687.8,827554.5,0,0,0,871110,982326,"NS","projection",128638.2,26133.3
"2938",2022-01-18,"ns",853687.8,827554.5,0,0,0,871110,982326,"NS","projection",128638.2,26133.3
"2939",2022-01-19,"ns",853687.8,827554.5,0,0,0,871110,982326,"NS","projection",128638.2,26133.3
"2940",2022-01-20,"ns",853687.8,827554.5,0,0,0,871110,982326,"NS","projection",128638.2,26133.3
"2941",2020-12-02,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2942",2020-12-03,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2943",2020-12-04,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2944",2020-12-05,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2945",2020-12-06,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
