"","date","province","at_least_1_dose","double_dose","firstJabs","secondJabs","jabs","eligible_population","population","province2","type","unvaccinated_population","partially_dose"
"2946",2020-12-07,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2947",2020-12-08,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2948",2020-12-09,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2949",2020-12-10,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2950",2020-12-11,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2951",2020-12-12,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2952",2020-12-13,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2953",2020-12-14,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2954",2020-12-15,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2955",2020-12-16,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2956",2020-12-17,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2957",2020-12-18,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2958",2020-12-19,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
"2959",2020-12-20,"nt",0,0,NA,NA,NA,37917,44991,"NT","data",44991,0
